,San Diego Regionals,backend,,backend,backend,,,,,backend,backend,,"7-8 Jan 2023
531 players, 10 Swiss Rds, Top 32 Cut",backend,backend,Formula:,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$BW:$BW,Get Category SV!$Z:$Z,Get Category SV!$AA:$AA,,,,,,,,,,,,,,,Open Teamlists Link,,"Has
Image?",,,Stream Link,rk9 Labs ALL Open Team Lists: https://rk9.gg/roster/df5AzRjKxTb62H7BsbOe,rk9),"Backend STEP 1 - Extract Mons, Edit Pokemon input here",,,,,,"STEP 1.1 - Extract Tera, Edit Tera input here",,,,,,,"STEP 1.2 - Extract Items, Edit Item input here",,,,,,,,,,,,,STEP 2 & 3 - Sort and Arrange Mons,,,,,,,,,,,,Final Arrangement,,,,,,,,,,,,,,,,,,,VR Naming Convention,,,,,,,Pokemon Text Form (VGCPastes),,,,,,,For Discord Channel,,Opponents in Each Round,,,,,,,,,,,,,,,,,,,
Final Rank,Seed,D1 / D2,Swiss Record,Win,Loss,Country,C,Player,rk9 Labs Name,Romanised IGN,Name Notes,Gamer Tag,Twitter,Twitter Tag,LINK,,,,,,,,,,,,,,,,,,,CP,Prize,Pokepaste,EVs?,🖼,Team Report,Tweet,Stream Notes,Team/Source Notes,,Pokepaste Extract Input 1 - Pokemon,,Insert Paste!,San Diego Regionals Top 32 Team,,,Buffer,Pokepaste Extract Input 1 - Item,,,,,,Buffer,Pokepaste Extract Input 1 - Tera,,,,,,Update Primary Tera Type,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$H:$H,,,Source:,,Get Category SV!$B:$B,,,,Source:,,Get Category SV!$M:$M,,,,Final Pokemon 1,Tera,Final Item 1,Final Pokemon 2,Tera,Final Item 2,Final Pokemon 3,Tera,Final Item 3,Final Pokemon 4,Tera,Final Item 4,Final Pokemon 5,Tera,Final Item 5,Final Pokemon 6,Tera,Final Item 6,,Source:,,Get Category!$U:$U,,,,,,,,,,,,,,Round 1,Table No.,Round 2,Table No.,Round 3,Table No.,Round 4,Table No.,Round 5,Table No.,Round 6,Table No.,Round 7,Table No.,Round 8,Table No.,Round 9,Table No.,Round 10,Table No.
10,#5,,9 - 1,9,1,USA,,Alberto Lara,Alberto Lara,,,Alberto,Alberto310,Alberto310,https://twitter.com/Alberto310,,T,,,T,,,T,,,T,,,T,,,T,,80,$250,https://pokepast.es/c286d07cba447885,No,-,-,https://twitter.com/Alberto310/status/1612158885082849281,Round 4 (2nd match) (W),,,Hydreigon,Gholdengo,Garchomp,Grimmsnarl,Skeledirge,Corviknight,,,,,,,,,,,,,,,,,,,,,9 Hydreigon,7 Gholdengo,9 Garchomp,8 Grimmsnarl,0 Skeledirge,7 Corviknight,0 Skeledirge,7 Corviknight,7 Gholdengo,8 Grimmsnarl,9 Garchomp,9 Hydreigon,Skeledirge,,,Corviknight,,,Gholdengo,,,Grimmsnarl,,,Garchomp,,,Hydreigon,,,,,,,,,,,Skeledirge,Corviknight,Gholdengo,Grimmsnarl,Garchomp,Hydreigon,,"Hydreigon, Gholdengo, Garchomp, Grimmsnarl, Skeledirge, Corviknight",,Roland Barbaza,227,Joshua Kartes,121,Michael D'Angelo,23,Baris Akcos,24,Ethan Simpson,14,Jake Skurchak,38,Collin Heier,13,Justin Burns,5,kyle ayala,9,Stefan Mott,2
11,#6,,9 - 1,9,1,USA,,Wolfe Glick,Wolfe Glick,,,Wolfey,WolfeyGlick,WolfeyGlick,https://twitter.com/WolfeyGlick,,T,,,T,,,T,,,T,,,T,,,T,,80,$250,https://pokepast.es/6ed8d0a0a5570202,No,-,soon,https://twitter.com/WolfeyGlick/status/1612157345404170240,,,,Tatsugiri-Stretchy,Dondozo,Annihilape,Meowscarada,Sylveon,Armarouge,,,,,,,,,,,,,,,,,,,,,1 Tatsugiri-Stretchy,1 Dondozo,4 Annihilape,2 Meowscarada,8 Sylveon,0 Armarouge,0 Armarouge,1 Dondozo,1 Tatsugiri-Stretchy,2 Meowscarada,4 Annihilape,8 Sylveon,Armarouge,,,Dondozo,,,Tatsugiri-Stretchy,,,Meowscarada,,,Annihilape,,,Sylveon,,,,,,,,,,,Armarouge,Dondozo,Tatsugiri-Stretchy,Meowscarada,Annihilape,Sylveon,,"Tatsugiri-Stretchy, Dondozo, Annihilape, Meowscarada, Sylveon, Armarouge",,Bobby Hahn,210,Christian Flores,9,Raymond Sharp,5,Jonas Kra-Caskey,2,Caleb Ryor,8,Emilio Forbes,4,Brady Smith,9,Andrew Nowak,17,Ezequiel Cordero,8,Aditya Subramanian,6
12,#9,,8 - 2,8,2,USA,,Angel Miranda,Angel Miranda,,,Misaka,AngelJMiranda,AngelJMiranda,https://twitter.com/AngelJMiranda,,T,,,T,,,T,,,T,,,T,,,T,,80,$250,https://pokepast.es/9b1c69b010d77531,Yes,https://media.discordapp.net/attachments/1041626109680295966/1067167128718954678/San_Diego_Angel_Miranda_Adi_Subra_B6QC85.jpg,https://youtu.be/Tp2K6fH5QM4,https://twitter.com/AngelJMiranda/status/1612167356444463105,,Rental Code: B6QC85,,Gholdengo,Kingambit,Tauros-Paldea-Aqua,Pelipper,Mimikyu,Amoonguss,,,,,,,,,,,,,,,,,,,,,7 Gholdengo,7 Kingambit,1 Tauros-Paldea-Aqua,1 Pelipper,8 Mimikyu,2 Amoonguss,1 Pelipper,1 Tauros-Paldea-Aqua,2 Amoonguss,7 Gholdengo,7 Kingambit,8 Mimikyu,Pelipper,,,Tauros-Paldea-Aqua,,,Amoonguss,,,Gholdengo,,,Kingambit,,,Mimikyu,,,,,,,,,,,Pelipper,Tauros-Paldea-Aqua,Amoonguss,Gholdengo,Kingambit,Mimikyu,,"Gholdengo, Kingambit, Tauros-Paldea-Aqua, Pelipper, Mimikyu, Amoonguss",,Aaron Asher,168,Santino Tarquinio,50,Yuling Liu,8,Ryan Haig,13,Luis Canseco,62,Andrew Ding,27,Kareem Muakkit,22,Ethan Simpson,11,Aditya Subramanian,2,Emilio Forbes,1
13,#13,,8 - 2,8,2,USA,,Marco Martinez,Marco Martinez,,,Mars,MarsVgc,MarsVgc,https://twitter.com/MarsVgc,,T,,,T,,,T,,,T,,,T,,,T,,80,$250,https://pokepast.es/f696af333cd12498,Yes,https://pbs.twimg.com/media/FmXh-KOWYAEOdl3?format=jpg&name=large,-,https://twitter.com/MarsVgc/status/1613944523855466508,Round 10 (W),Rental Code: BWNCFX,,Tauros-Paldea-Aqua,Gholdengo,Hydreigon,Baxcalibur,Amoonguss,Salazzle,,,,,,,,,,,,,,,,,,,,,1 Tauros-Paldea-Aqua,7 Gholdengo,9 Hydreigon,9 Baxcalibur,2 Amoonguss,0 Salazzle,0 Salazzle,1 Tauros-Paldea-Aqua,2 Amoonguss,7 Gholdengo,9 Baxcalibur,9 Hydreigon,Salazzle,,,Tauros-Paldea-Aqua,,,Amoonguss,,,Gholdengo,,,Baxcalibur,,,Hydreigon,,,,,,,,,,,Salazzle,Tauros-Paldea-Aqua,Amoonguss,Gholdengo,Baxcalibur,Hydreigon,,"Tauros-Paldea-Aqua, Gholdengo, Hydreigon, Baxcalibur, Amoonguss, Salazzle",,Darsh Patel,84,Giovanni Velazquez,118,Camilo Liberona,19,Luhou Shen,31,Shray Chakraborty,18,Chuppa Cross,25,Galo Orbea,77,César Reyes,21,Logan Castro,36,Brady Smith,9
14,#16,,8 - 2,8,2,USA,,Ezequiel Cordero,Ezequiel Cordero,,,ZekromZeke,ZekromZeke,ZekromZeke,https://twitter.com/ZekromZeke,,T,,,T,,,T,,,T,,,T,,,T,,80,$250,https://pokepast.es/aed6fec6f7fa339b,No,-,-,https://twitter.com/ZekromZeke/status/1612164938470129664,,Salvadorian (VR),,Dragonite,Palafin,Amoonguss,Pelipper,Kingambit,Gholdengo,,,,,,,,,,,,,,,,,,,,,9 Dragonite,1 Palafin,2 Amoonguss,1 Pelipper,7 Kingambit,7 Gholdengo,1 Palafin,1 Pelipper,2 Amoonguss,7 Gholdengo,7 Kingambit,9 Dragonite,Palafin,,,Pelipper,,,Amoonguss,,,Gholdengo,,,Kingambit,,,Dragonite,,,,,,,,,,,Palafin,Pelipper,Amoonguss,Gholdengo,Kingambit,Dragonite,,"Dragonite, Palafin, Amoonguss, Pelipper, Kingambit, Gholdengo",,Matthew Jackson,240,James Grigsby,67,Daniel Cazares del Castillo,39,Zac Emerzian,23,Luhou Shen,12,Sohaib Mufti,8,Caleb Ryor,20,Chase Tiedtke,6,Wolfe Glick,8,Nicholas Solis,24
15,#23,,8 - 2,8,2,USA,,Zach Carlson,Zach Carlson,,,Zachary,profshroomish,profshroomish,https://twitter.com/profshroomish,,T,,,T,,,T,,,T,,,T,,,T,,80,$250,https://pokepast.es/d9c65e0527556c3d,Yes,https://media.discordapp.net/attachments/1041626109680295966/1062401379848695868/San_Diego_Zach_Carlson_RYXCHY.jpg,-,https://twitter.com/profshroomish/status/1612175325785624576,,Rental code: RYXCHY,,Pawmot,Gholdengo,Tatsugiri-Stretchy,Meowscarada,Talonflame,Dondozo,,,,,,,,,,,,,,,,,,,,,3 Pawmot,7 Gholdengo,1 Tatsugiri-Stretchy,2 Meowscarada,0 Talonflame,1 Dondozo,0 Talonflame,1 Dondozo,1 Tatsugiri-Stretchy,2 Meowscarada,3 Pawmot,7 Gholdengo,Talonflame,,,Dondozo,,,Tatsugiri-Stretchy,,,Meowscarada,,,Pawmot,,,Gholdengo,,,,,,,,,,,Talonflame,Dondozo,Tatsugiri-Stretchy,Meowscarada,Pawmot,Gholdengo,,"Pawmot, Gholdengo, Tatsugiri-Stretchy, Meowscarada, Talonflame, Dondozo",,Aaron Mindt,109,William Dannhauser,73,Giovanni Cischke,33,Collin Heier,17,Benjamin Petersen,80,Jonathan Duran,44,Austin Forcinito,12,Dawei Si,4,Chongjun Peng,21,Shray Chakraborty,15
16,#31,,7 - 3,7,3,USA,,Brady Smith,Brady Smith,,,B,bsmiffy_,bsmiffy_,https://twitter.com/bsmiffy_,,T,,,T,,,T,,,T,,,T,,,T,,80,$250,https://pokepast.es/43c464b1d5167cdd,Yes,No,-,https://twitter.com/bsmiffy_/status/1612183635066785792,Round 10,Paste has EVs,,Amoonguss,Talonflame,Gholdengo,Grimmsnarl,Garchomp,Rotom-Wash,,,,,,,,,,,,,,,,,,,,,2 Amoonguss,0 Talonflame,7 Gholdengo,8 Grimmsnarl,9 Garchomp,1 Rotom-Wash,0 Talonflame,1 Rotom-Wash,2 Amoonguss,7 Gholdengo,8 Grimmsnarl,9 Garchomp,Talonflame,,,Rotom-Wash,,,Amoonguss,,,Gholdengo,,,Grimmsnarl,,,Garchomp,,,,,,,,,,,Talonflame,Rotom-Wash,Amoonguss,Gholdengo,Grimmsnarl,Garchomp,,"Amoonguss, Talonflame, Gholdengo, Grimmsnarl, Garchomp, Rotom-Wash",,Tommy Schieffer,253,Benjamin Berlin,20,Noah Bales,26,James Evans,9,Scott Iwafuchi,5,Aaron Clemons,34,Wolfe Glick,9,Troy Coleman,31,Baris Akcos,22,Marco Martinez,9
17,#2,,9 - 1,9,1,USA,,Ryan Haig,Ryan Haig,,,botchkiss,z0mogvgc,z0mogvgc,https://twitter.com/z0mogvgc,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/111614a00ed9fc7c,No,-,-,https://twitter.com/z0mogvgc/status/1611959708671434752,Round 6 (W),,,Dragonite,Gholdengo,Volcarona,Sableye,Tauros-Paldea-Aqua,Amoonguss,,,,,,,,,,,,,,,,,,,,,9 Dragonite,7 Gholdengo,0 Volcarona,5 Sableye,1 Tauros-Paldea-Aqua,2 Amoonguss,0 Volcarona,1 Tauros-Paldea-Aqua,2 Amoonguss,5 Sableye,7 Gholdengo,9 Dragonite,Volcarona,,,Tauros-Paldea-Aqua,,,Amoonguss,,,Sableye,,,Gholdengo,,,Dragonite,,,,,,,,,,,Volcarona,Tauros-Paldea-Aqua,Amoonguss,Sableye,Gholdengo,Dragonite,,"Dragonite, Gholdengo, Volcarona, Sableye, Tauros-Paldea-Aqua, Amoonguss",,Steven Stark,46,Jason Krell,11,Chase Tiedtke,27,Angel Miranda,13,Eric Bartlett,7,Ethan Simpson,3,Scott Iwafuchi,3,Emilio Forbes,2,Sohaib Mufti,6,Giovanni Costa,3
18,#10,,8 - 2,8,2,USA,,Chase Tiedtke,Chase Tiedtke,,,Chase,tikichase,tikichase,https://twitter.com/tikichase,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/938077892c671ea0,Yes,https://media.discordapp.net/attachments/1041626109680295966/1062400981607923742/San_Diego_Chase_Tiedtke_0DKX7P.jpg,-,https://twitter.com/tikichase/status/1612157584911527936,,Rental code: 0DKX7P,,Tauros-Paldea-Aqua,Amoonguss,Salazzle,Kingambit,Baxcalibur,Mimikyu,,,,,,,,,,,,,,,,,,,,,1 Tauros-Paldea-Aqua,2 Amoonguss,0 Salazzle,7 Kingambit,9 Baxcalibur,8 Mimikyu,0 Salazzle,1 Tauros-Paldea-Aqua,2 Amoonguss,7 Kingambit,8 Mimikyu,9 Baxcalibur,Salazzle,,,Tauros-Paldea-Aqua,,,Amoonguss,,,Kingambit,,,Mimikyu,,,Baxcalibur,,,,,,,,,,,Salazzle,Tauros-Paldea-Aqua,Amoonguss,Kingambit,Mimikyu,Baxcalibur,,"Tauros-Paldea-Aqua, Amoonguss, Salazzle, Kingambit, Baxcalibur, Mimikyu",,Carter Leever,136,Richard Macey,110,Ryan Haig,27,Joel Nino,116,Kevin Miller,60,Rajan Bal,46,Anthony Plasencia,29,Ezequiel Cordero,6,Luhou Shen,23,ALEX UNDERHILL,23
19,#12,,8 - 2,8,2,CHE,,Stefan Mott,Stefan Mott,,,Pengy,PengyTwitch,PengyTwitch,https://twitter.com/PengyTwitch,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/88f4464b4391d58b,No,No,https://youtu.be/5_jrmeVApgU,https://twitter.com/PengyTwitch/status/1612145031594512385,,Info from Pengy,,Annihilape,Maushold,Pawmot,Meowscarada,Scizor,Murkrow,,,,,,,,,,,,,,,,,,,,,4 Annihilape,5 Maushold,3 Pawmot,2 Meowscarada,7 Scizor,5 Murkrow,2 Meowscarada,3 Pawmot,4 Annihilape,5 Maushold,5 Murkrow,7 Scizor,Meowscarada,,,Pawmot,,,Annihilape,,,Maushold,,,Murkrow,,,Scizor,,,,,,,,,,,Meowscarada,Pawmot,Annihilape,Maushold,Murkrow,Scizor,,"Annihilape, Maushold, Pawmot, Meowscarada, Scizor, Murkrow",,Nicholas Solis,208,Miguel Luna,88,Juan Sandoval,13,Adam Warfield,47,Joshua Mecham,35,Jon Hu,22,Anton Galkin,30,Norah Bowman,9,Jourdan Bul-lalayao,5,Alberto Lara,2
20,#15,,8 - 2,8,2,MEX,,Alberto Renero Pedrajas,Alberto Renero Pedrajas,,,GoldenEmp,GoldenEmpoleon,GoldenEmpoleon,https://twitter.com/GoldenEmpoleon,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/9f02bc90463b2949,Yes,No,https://youtu.be/w3qYDh9ZYPw,https://twitter.com/GoldenEmpoleon/status/1612144569516265473,,Mexican. Twitter is GoldenEmpoleon,,Amoonguss,Rotom-Heat,Gholdengo,Azumarill,Garchomp,Murkrow,,,,,,,,,,,,,,,,,,,,,2 Amoonguss,0 Rotom-Heat,7 Gholdengo,1 Azumarill,9 Garchomp,5 Murkrow,0 Rotom-Heat,1 Azumarill,2 Amoonguss,5 Murkrow,7 Gholdengo,9 Garchomp,Rotom-Heat,,,Azumarill,,,Amoonguss,,,Murkrow,,,Gholdengo,,,Garchomp,,,,,,,,,,,Rotom-Heat,Azumarill,Amoonguss,Murkrow,Gholdengo,Garchomp,,"Amoonguss, Rotom-Heat, Gholdengo, Azumarill, Garchomp, Murkrow",,Nicolo Guevarra,197,Christian Dam,101,Scott Iwafuchi,21,Jack Seabaugh,93,Samuel Haarsma,58,Jonathan Zuniga,35,Brian Collins,15,Aditya Subramanian,16,Cade Bowles,25,Benjamin Berlin,21
21,#17,,8 - 2,8,2,USA,,Norah Bowman,Norah Bowman,,,Bubs!,bubs_pkmn,bubs_pkmn,https://twitter.com/bubs_pkmn,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/feeba7bdcaec9a30,Yes,https://media.discordapp.net/attachments/1041626109680295966/1062400519953465415/San_Diego_Norah_Bowman_W8WRGH.jpg,-,https://twitter.com/bubs_pkmn/status/1612267200739708928,,Twitter is bubs_pkmn,,Gyarados,Amoonguss,Medicham,Kingambit,Hydreigon,Mimikyu,,,,,,,,,,,,,,,,,,,,,1 Gyarados,2 Amoonguss,4 Medicham,7 Kingambit,9 Hydreigon,8 Mimikyu,1 Gyarados,2 Amoonguss,4 Medicham,7 Kingambit,8 Mimikyu,9 Hydreigon,Gyarados,,,Amoonguss,,,Medicham,,,Kingambit,,,Mimikyu,,,Hydreigon,,,,,,,,,,,Gyarados,Amoonguss,Medicham,Kingambit,Mimikyu,Hydreigon,,"Gyarados, Amoonguss, Medicham, Kingambit, Hydreigon, Mimikyu",,Jonathan Zuniga,147,Giovanni Costa,1,Tony Lin,97,Stephanie Escamilla,53,Carter Bonnette,45,Alex Sanchez,23,Dylan Salvanera,26,Stefan Mott,9,Chase Lybbert,20,Steven Stewart,12
22,#19,,8 - 2,8,2,USA,,Cedric Bernier,Cedric Bernier,,,Cedric,TalonVGC,TalonVGC,https://twitter.com/TalonVGC,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/6245040d5ecbcf63,No,-,-,-,,Info from Helios,,Salamence,Pawmot,Kingambit,Amoonguss,Palafin,Pelipper,,,,,,,,,,,,,,,,,,,,,9 Salamence,3 Pawmot,7 Kingambit,2 Amoonguss,1 Palafin,1 Pelipper,1 Palafin,1 Pelipper,2 Amoonguss,3 Pawmot,7 Kingambit,9 Salamence,Palafin,,,Pelipper,,,Amoonguss,,,Pawmot,,,Kingambit,,,Salamence,,,,,,,,,,,Palafin,Pelipper,Amoonguss,Pawmot,Kingambit,Salamence,,"Salamence, Pawmot, Kingambit, Amoonguss, Palafin, Pelipper",,Delaney Callan,28,Kevin Miller,85,Emmanuel Boctor,43,Aaron Brok,16,Ian Holdeman,21,Dawei Si,42,Jason Krell,55,Noah Pielow,34,Calvin Nisson,17,Sohaib Mufti,19
23,#20,,8 - 2,8,2,USA,,Collin Heier,Collin Heier,,,Crown,BattleRoom,BattleRoom,https://twitter.com/BattleRoom,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/b30e388b963f6807,No,-,-,https://twitter.com/BattleRoom/status/1612139767403286528,Round 5,,,Sylveon,Kingambit,Baxcalibur,Volcarona,Tauros-Paldea-Aqua,Garganacl,,,,,,,,,,,,,,,,,,,,,8 Sylveon,7 Kingambit,9 Baxcalibur,0 Volcarona,1 Tauros-Paldea-Aqua,4 Garganacl,0 Volcarona,1 Tauros-Paldea-Aqua,4 Garganacl,7 Kingambit,8 Sylveon,9 Baxcalibur,Volcarona,,,Tauros-Paldea-Aqua,,,Garganacl,,,Kingambit,,,Sylveon,,,Baxcalibur,,,,,,,,,,,Volcarona,Tauros-Paldea-Aqua,Garganacl,Kingambit,Sylveon,Baxcalibur,,"Sylveon, Kingambit, Baxcalibur, Volcarona, Tauros-Paldea-Aqua, Garganacl",,Marissa Lawrence,48,Joseph Brummett,48,Ian O'Connor,9,Zach Carlson,17,Emilio Forbes,17,Yichun Wu,33,Alberto Lara,13,Christian Dam,24,Juan Sandoval,13,Luke Bowar,14
24,#22,,8 - 2,8,2,CHN,,Si Dawei,Dawei Si,,,露露♪,sunoru_sidw,sunoru_sidw,https://twitter.com/sunoru_sidw,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/eb27a029d60ab5d2,Yes,https://media.discordapp.net/attachments/1041626109680295966/1062400026745249802/San_Diego_Si_Dawei_CNV2MS.jpg,-,https://twitter.com/sunoru_sidw/status/1612682466153693184,,"Code 1: CNV2MS
Code 2: 2CM9BM",,Sylveon,Maushold,Talonflame,Meowscarada,Armarouge,Annihilape,,,,,,,,,,,,,,,,,,,,,8 Sylveon,5 Maushold,0 Talonflame,2 Meowscarada,0 Armarouge,4 Annihilape,0 Armarouge,0 Talonflame,2 Meowscarada,4 Annihilape,5 Maushold,8 Sylveon,Armarouge,,,Talonflame,,,Meowscarada,,,Annihilape,,,Maushold,,,Sylveon,,,,,,,,,,,Armarouge,Talonflame,Meowscarada,Annihilape,Maushold,Sylveon,,"Sylveon, Maushold, Talonflame, Meowscarada, Armarouge, Annihilape",,Kristin Stalnaker,176,Bo Dong,74,Mason Archer,143,Yuling Liu,52,David Kubiak,65,Cedric Bernier,42,Timothy Hardin,18,Zach Carlson,4,Chuppa Cross,7,Brian Collins,17
25,#24,,8 - 2,8,2,USA,,Nathan Ortiz,Nathan Ortiz,,,Kortex,KortexVGC,KortexVGC,https://twitter.com/KortexVGC,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/a4fdfd4035cf6d21,No,-,-,https://twitter.com/KortexVGC/status/1612141470252924929,,Guatemalan (VR),,Armarouge,Indeedee-F,Gholdengo,Salamence,Breloom,Skeledirge,,,,,,,,,,,,,,,,,,,,,0 Armarouge,5 Indeedee-F,7 Gholdengo,9 Salamence,2 Breloom,0 Skeledirge,0 Armarouge,0 Skeledirge,2 Breloom,5 Indeedee-F,7 Gholdengo,9 Salamence,Armarouge,,,Skeledirge,,,Breloom,,,Indeedee-F,,,Gholdengo,,,Salamence,,,,,,,,,,,Armarouge,Skeledirge,Breloom,Indeedee-F,Gholdengo,Salamence,,"Armarouge, Indeedee-F (Indeedee-Female), Gholdengo, Salamence, Breloom, Skeledirge",,Adam Hoffer,160,Trista Medine,185,Gabriel Mendoza,146,Kevonne Boreland,94,Joseph McAdam,63,Jacob Mortenson,21,Aditya Subramanian,24,Alex Qian,35,Neil Patel,24,Yiwen Song,10
26,#25,,8 - 2,8,2,USA,,Joshua Lorcy,Joshua Lorcy,,,Lorcy,lorcylovesyou,lorcylovesyou,https://twitter.com/lorcylovesyou,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/681b9a81be565428,Yes,No,-,https://twitter.com/lorcylovesyou/status/1612577947453472769,,"Owner's paste, no rental",,Arcanine,Rotom-Wash,Maushold,Annihilape,Hydreigon,Amoonguss,,,,,,,,,,,,,,,,,,,,,0 Arcanine,1 Rotom-Wash,5 Maushold,4 Annihilape,9 Hydreigon,2 Amoonguss,0 Arcanine,1 Rotom-Wash,2 Amoonguss,4 Annihilape,5 Maushold,9 Hydreigon,Arcanine,,,Rotom-Wash,,,Amoonguss,,,Annihilape,,,Maushold,,,Hydreigon,,,,,,,,,,,Arcanine,Rotom-Wash,Amoonguss,Annihilape,Maushold,Hydreigon,,"Arcanine, Rotom-Wash, Maushold, Annihilape, Hydreigon, Amoonguss",,Adam Warfield,39,Roland Barbaza,213,Armando Gutierrez,190,Gary Qian,44,Pedro Lima,129,Will Wetzel,123,Justin Wan,38,Allan Martinez,37,Raghav Malaviya,26,Ethan Simpson,11
27,#26,,8 - 2,8,2,DOM,,Jonathan Zuniga,Jonathan Zuniga,,,Jawnzu,JAWNZU,JAWNZU,https://twitter.com/JAWNZU,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/de40f9e03880c79e,Yes,https://pbs.twimg.com/media/FmIfbIBWYAEoa0s?format=jpg&name=large,https://drive.google.com/file/d/1iNXQMqxRj7gnLZvR5Pvo_uxnJAg1Mcpx/view,https://twitter.com/JAWNZU/status/1611968005344473092,,Rental Code: CQ8RG6,,Skeledirge,Gholdengo,Meowscarada,Azumarill,Dragonite,Maushold,,,,,,,,,,,,,,,,,,,,,0 Skeledirge,7 Gholdengo,2 Meowscarada,1 Azumarill,9 Dragonite,5 Maushold,0 Skeledirge,1 Azumarill,2 Meowscarada,5 Maushold,7 Gholdengo,9 Dragonite,Skeledirge,,,Azumarill,,,Meowscarada,,,Maushold,,,Gholdengo,,,Dragonite,,,,,,,,,,,Skeledirge,Azumarill,Meowscarada,Maushold,Gholdengo,Dragonite,,"Skeledirge, Gholdengo, Meowscarada, Azumarill, Dragonite, Maushold",,Norah Bowman,147,Ryan Januszewski,166,Rose Barry,122,Adam Hoffer,95,Ian O'Connor,73,Alberto Renero Pedrajas,35,Benny Rogers,78,Jonathan Duran,57,Scott Iwafuchi,12,Dylan Salvanera,22
28,#27,,8 - 2,8,2,USA,,James Baek,James Baek,,,SoulUnison,JamesWBaek,JamesWBaek,https://twitter.com/JamesWBaek,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/372ca495d383195f,Yes,https://victoryroadvgc.com/wp-content/uploads/2023/01/SanDiego-James-Baek-KMG0C4.jpg,https://youtu.be/CmREaEiAl9M,https://twitter.com/JamesWBaek/status/1614789850691141632,,Rental Code: KMG0C4,,Gholdengo,Amoonguss,Talonflame,Hydreigon,Glimmora,Tauros-Paldea-Aqua,,,,,,,,,,,,,,,,,,,,,7 Gholdengo,2 Amoonguss,0 Talonflame,9 Hydreigon,4 Glimmora,1 Tauros-Paldea-Aqua,0 Talonflame,1 Tauros-Paldea-Aqua,2 Amoonguss,4 Glimmora,7 Gholdengo,9 Hydreigon,Talonflame,,,Tauros-Paldea-Aqua,,,Amoonguss,,,Glimmora,,,Gholdengo,,,Hydreigon,,,,,,,,,,,Talonflame,Tauros-Paldea-Aqua,Amoonguss,Glimmora,Gholdengo,Hydreigon,,"Gholdengo, Amoonguss, Talonflame, Hydreigon, Glimmora, Tauros-Paldea-Aqua",,Ryan Hebert,165,Rushan Shekar,260,Patrick Daubert,93,Kyle Livinghouse,45,Jake Magier,54,Abraham Orta,108,Zee Costagliola,49,juan guzman,47,Benji Irons,14,Justin Burns,16
29,#28,,8 - 2,8,2,USA,,Kyle Ayala,kyle ayala,,,KairoshiiiTV,Kairoshiii,Kairoshiii,https://twitter.com/Kairoshiii,,T,,,T,,,T,,,T,,,T,,,T,,60,,https://pokepast.es/5c136d7a9fa5d3d8,No,-,-,https://twitter.com/Kairoshiii/status/1612186070850076672,,,,Volcarona,Dondozo,Dragonite,Meowscarada,Tatsugiri-Droopy,Sylveon,,,,,,,,,,,,,,,,,,,,,0 Volcarona,1 Dondozo,9 Dragonite,2 Meowscarada,1 Tatsugiri-Droopy,8 Sylveon,0 Volcarona,1 Dondozo,1 Tatsugiri-Droopy,2 Meowscarada,8 Sylveon,9 Dragonite,Volcarona,,,Dondozo,,,Tatsugiri-Droopy,,,Meowscarada,,,Sylveon,,,Dragonite,,,,,,,,,,,Volcarona,Dondozo,Tatsugiri-Droopy,Meowscarada,Sylveon,Dragonite,,"Volcarona, Dondozo, Dragonite, Meowscarada, Tatsugiri-Droopy, Sylveon",,Tyler Deacy,55,Ben Grissmer,25,David Lee,101,Dominique Johnson,131,Patrick Donegan,46,Montana Mott,48,Aaron Traylor,14,Steven Stewart,14,Alberto Lara,9,Jourdan Bul-lalayao,8
